,Phone Model,Specifications,New Price,Discount,Regular Price,Monthly,Price Int
0,Samsung Galaxy A53 5G (6GB + 128GB) Black,"6.5-inch Full HD+, Exynos 1280, 128GB, 5000mAh","₱21,990",10%,"₱24,490","₱1,832.50/mo",21990
1,Apple iPhone 11,128GB Purple,"₱32,990",6%,"₱34,990","₱2,915.83/mo",32990
2,Apple iPhone 11,128GB White,"₱32,990",6%,"₱34,990","₱2,915.83/mo",32990
3,Apple iPhone 11,128GB Black,"₱32,990",6%,"₱34,990","₱2,915.83/mo",32990
4,Samsung Galaxy S22 Ultra (12GB + 256GB) Phantom White,"6.8-inch Quad HD+, Snapdragon 895, 256GB, 5000mAh","₱72,990",,,"₱6,082.50/mo",72990
5,Samsung Galaxy S22 Ultra (12GB + 256GB) Green,"6.8-inch Quad HD+, Snapdragon 895, 256GB, 5000mAh","₱72,990",,,"₱6,082.50/mo",72990
6,Samsung Galaxy S22 Ultra (12GB + 256GB) Phantom Black,"6.8-inch Quad HD+, Snapdragon 895, 256GB, 5000mAh","₱72,990",,,"₱6,082.50/mo",72990
7,Xiaomi Redmi 10C (4GB + 128GB) Graphite Gray,"6.71-inch HD+, SD 680, 128GB, 5000mAh","₱7,299",14%,"₱8,499",₱708.25/mo,7299
8,Xiaomi Redmi Note 11 Pro 5G Graphite Gray,"6.67-inch Full HD+, SD 695, 128GB, 5000mAh","₱15,999",,,"₱1,333.25/mo",15999
9,Xiaomi Redmi Note 11 Pro 5G Atlantic Blue,"6.67-inch Full HD+, SD 695, 128GB, 5000mAh","₱15,999",,,"₱1,333.25/mo",15999
10,Xiaomi Redmi Note 11S Graphite Gray,"6.43-inch Full HD+, MTK G96, 128GB, 5000mAh","₱12,999",,,"₱1,083.25/mo",12999
11,Xiaomi Redmi Note 11S Twilight Blue,"6.43-inch Full HD+, MTK G96, 128GB, 5000mAh","₱12,999",,,"₱1,083.25/mo",12999
12,Vivo Y21T Midnight Blue,"6.51-inch HD+, SD 680, 128GB, 5000mAh","₱10,999",12%,"₱12,499","₱1,041.58/mo",10999
13,Apple iPhone 13 Pro Max,256GB Sierra Blue,"₱76,990",3%,"₱78,990","₱6,582.50/mo",76990
14,Apple iPhone 13 Pro Max,128GB Gold,"₱70,990",3%,"₱72,990","₱6,082.50/mo",70990
15,Apple iPhone 13 Pro Max,128GB Graphite,"₱70,990",3%,"₱72,990","₱6,082.50/mo",70990
16,Apple iPhone 13 Pro,512GB Gold,"₱82,990",2%,"₱84,990","₱7,082.50/mo",82990
17,Apple iPhone 13 Pro,512GB Graphite,"₱82,990",2%,"₱84,990","₱7,082.50/mo",82990
18,Apple iPhone 13 Pro,256GB Sierra Blue,"₱70,990",3%,"₱72,990","₱6,082.50/mo",70990
19,Apple iPhone 13 Pro,256GB Graphite,"₱70,990",3%,"₱72,990","₱6,082.50/mo",70990
20,Apple iPhone 13 (PRODUCT)RED,512GB Red,"₱67,990",4%,"₱70,990","₱5,915.83/mo",67990
21,Apple iPhone 13,256GB Blue,"₱54,990",7%,"₱58,990","₱4,915.83/mo",54990
22,Apple iPhone 13,256GB Pink,"₱54,990",7%,"₱58,990","₱4,915.83/mo",54990
23,Apple iPhone 13,256GB Starlight,"₱54,990",7%,"₱58,990","₱4,915.83/mo",54990
